['2024-04-09', '1712679465', 'nytimes.com.', '77', 'IN', 'AAAA', '2a03:2880:f12c:83:face:b00c:0:25de', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['AAAA', 'www.maxreader.net.', 'AAAA', 'www.maxreader.net.', '204', '1712624846000', '0.2589047849178314', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712678380', 'twitter.com.', '138', 'IN', 'AAAA', '2a03:2880:f10f:83:face:b00c:0:25de', '61553', '58.23.45.62']['AAAA', 'www.dililitv.com.', 'AAAA', 'www.dililitv.com.', '197', '1712626819000', '0.27268923074007034', '866401023', '0', '0', 'ans', '', '2a03:2880:f10f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10f::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712687949', 'twitter.com.', '188', 'IN', 'AAAA', '2a03:2880:f131:83:face:b00c:0:25de', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['AAAA', 'www.9txs.com.', 'AAAA', 'www.9txs.com.', '99', '1712623310000', '0.667310506105423', '866401023', '0', '0', 'ans', '', '2a03:2880:f131:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f131::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712629541', 'twitter.com.', '196', 'IN', 'AAAA', '2a03:2880:f12c:183:face:b00c:0:25de', '1006022', 'fd00:114:514:4:dcb0:cdff:fe1c:e2a4']['AAAA', '181.com.', 'AAAA', '181.com.', '227', '1712625471000', '0.2533635199069977', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712675111', 'twitter.com.', '201', 'IN', 'AAAA', '2a03:2880:f107:83:face:b00c:0:25de', '1007890', '112.48.5.95']['AAAA', 'texcn.cn.', 'AAAA', 'texcn.cn.', '202', '1712622992000', '0.15212838351726532', '866401023', '0', '0', 'ans', '', '2a03:2880:f107:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f107::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712689923', 'twitter.com.', '88', 'IN', 'AAAA', '2a03:2880:f129:83:face:b00c:0:25de', '1007740', '2409:8a55:d84e:7c31:fc82:9ff:fe9a:b658']['AAAA', 'www.91mjw.com.', 'AAAA', 'www.91mjw.com.', '183', '1712624250000', '0.7104492485523224', '866401023', '0', '0', 'ans', '', '2a03:2880:f129:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712676273', 'nytimes.com.', '86', 'IN', 'AAAA', '2a03:2880:f112:83:face:b00c:0:25de', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['AAAA', 'www.77169.com.', 'AAAA', 'www.77169.com.', '78', '1712628795000', '0.22526413202285767', '866401023', '0', '0', 'ans', '', '2a03:2880:f112:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f112::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712683405', 'twitter.com.', '248', 'IN', 'AAAA', '2a03:2880:f117:83:face:b00c:0:25de', '63067', '111.37.149.21']['AAAA', 'www.39shubao.com.', 'AAAA', 'www.39shubao.com.', '226', '1712627327000', '1.7558330297470093', '866401023', '0', '0', 'ans', '', '2a03:2880:f117:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712688903', 'twitter.com.', '166', 'IN', 'AAAA', '2a03:2880:f11f:83:face:b00c:0:25de', '62897', '27.38.112.69']['AAAA', 'dililitv.com.', 'AAAA', 'dililitv.com.', '122', '1712626819000', '0.2737429141998291', '866401023', '0', '0', 'ans', '', '2a03:2880:f11f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712642571', 'nytimes.com.', '112', 'IN', 'AAAA', '2a03:2880:f127:283:face:b00c:0:25de', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['AAAA', 'fyq18.com.', 'AAAA', 'fyq18.com.', '88', '1712628681000', '0.22070281952619553', '866401023', '0', '0', 'ans', '', '2a03:2880:f127:283:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712632389', 'twitter.com.', '163', 'IN', 'AAAA', '2a03:2880:f102:183:face:b00c:0:25de', '1003715', '159.75.8.103']['AAAA', 'm88sb.com.', 'AAAA', 'm88sb.com.', '187', '1712623683000', '0.23147586733102798', '866401023', '0', '0', 'ans', '', '2a03:2880:f102:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
