['2024-04-09', '1712685292', 'facebook.com.', '111', 'IN', 'AAAA', '2a03:2880:f102:183:face:b00c:0:25de', '1006180', '43.143.181.224']['AAAA', 'm88sb.com.', 'AAAA', 'm88sb.com.', '187', '1712623683000', '0.23147586733102798', '866401023', '0', '0', 'ans', '', '2a03:2880:f102:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712693684', 'facebook.com.', '80', 'IN', 'AAAA', '2a03:2880:f117:83:face:b00c:0:25de', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['AAAA', 'www.39shubao.com.', 'AAAA', 'www.39shubao.com.', '226', '1712627327000', '1.7558330297470093', '866401023', '0', '0', 'ans', '', '2a03:2880:f117:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712695052', 'facebook.com.', '160', 'IN', 'AAAA', '2a03:2880:f11a:83:face:b00c:0:25de', '1007899', '112.48.5.95']['AAAA', 'hideipproxy.com.', 'AAAA', 'hideipproxy.com.', '91', '1712624371000', '0.24399518966674805', '866401023', '0', '0', 'ans', '', '2a03:2880:f11a:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712694862', 'facebook.com.', '16', 'IN', 'AAAA', '2a03:2880:f111:83:face:b00c:0:25de', '62911', '98.97.76.202']['AAAA', 'www.avninga.com.', 'AAAA', 'www.avninga.com.', '66', '1712624868000', '0.24435332417488098', '866401023', '0', '0', 'ans', '', '2a03:2880:f111:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f111::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712693152', 'facebook.com.', '147', 'IN', 'AAAA', '2a03:2880:f10f:83:face:b00c:0:25de', '1003982', '113.113.124.75']['AAAA', 'www.dililitv.com.', 'AAAA', 'www.dililitv.com.', '197', '1712626819000', '0.27268923074007034', '866401023', '0', '0', 'ans', '', '2a03:2880:f10f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10f::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712652656', 'facebook.com.', '54', 'IN', 'AAAA', '2a03:2880:f12c:183:face:b00c:0:25de', '53683', '98.208.234.225']['AAAA', '181.com.', 'AAAA', '181.com.', '227', '1712625471000', '0.2533635199069977', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712634409', 'facebook.com.', '123', 'IN', 'AAAA', '2a03:2880:f12d:83:face:b00c:0:25de', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['AAAA', 'www.m88sb.com.', 'AAAA', 'www.m88sb.com.', '216', '1712623683000', '0.2326507270336151', '866401023', '0', '0', 'ans', '', '2a03:2880:f12d:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712690191', 'facebook.com.', '41', 'IN', 'AAAA', '2a03:2880:f107:83:face:b00c:0:25de', '20973', '188.123.99.99']['AAAA', 'texcn.cn.', 'AAAA', 'texcn.cn.', '202', '1712622992000', '0.15212838351726532', '866401023', '0', '0', 'ans', '', '2a03:2880:f107:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f107::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712692019', 'facebook.com.', '107', 'IN', 'AAAA', '2a03:2880:f127:283:face:b00c:0:25de', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['AAAA', 'fyq18.com.', 'AAAA', 'fyq18.com.', '88', '1712628681000', '0.22070281952619553', '866401023', '0', '0', 'ans', '', '2a03:2880:f127:283:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712695929', 'facebook.com.', '10', 'IN', 'AAAA', '2a03:2880:f112:83:face:b00c:0:25de', '15760', '67.251.8.159']['AAAA', 'www.77169.com.', 'AAAA', 'www.77169.com.', '78', '1712628795000', '0.22526413202285767', '866401023', '0', '0', 'ans', '', '2a03:2880:f112:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f112::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712690107', 'facebook.com.', '24', 'IN', 'AAAA', '2a03:2880:f145:82:face:b00c:0:25de', '29989', '84.87.175.131']['AAAA', 'www.facebook.com.tr.', 'AAAA', 'star-mini.c10r.facebook.com.', '60', '1712627670000', '0.03695756196975708', '866401023', '0', '0', 'ans', '', '2a03:2880:f145:82:face:b00c:0:25de', 'NL', '32934', '[32934]', '2a03:2880:f145::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
