['2024-04-09', '1712687060', 'facebook.com.', '248', 'IN', 'A', '69.63.176.59', '51162', '120.230.116.212']['A', 'boluoxs.com.', 'A', 'boluoxs.com.', '96', '1712628482000', '0.4495443105697632', '866401023', '0', '0', 'ans', '69.63.176.59', '', 'US', '32934', '[32934]', '69.63.176.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712647410', 'facebook.com.', '91', 'IN', 'A', '128.242.250.155', '1001082', '116.6.54.135']['A', 'www.biquguan.com.', 'A', 'www.biquguan.com.', '210', '1712625725000', '0.22633707523345947', '866401023', '0', '0', 'ans', '128.242.250.155', '', 'JP', '2914', '[2914]', '128.242.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712685960', 'google.com.', '255', 'IN', 'A', '142.250.186.78', '1002827', '92.141.86.16']['A', 'lordfilm7.com.', 'A', 'lordfilm7.com.', '139', '1712624626000', '0.012927711009979248', '866401023', '0', '0', 'ans', '142.250.186.78', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712644885', 'google.com.', '117', 'IN', 'A', '142.250.74.206', '1002827', '92.141.86.16']['A', 'kinotom.click.', 'A', 'kinotom.click.', '104', '1712621936000', '0.012567117810249329', '866401023', '0', '0', 'ans', '142.250.74.206', '', 'US', '15169', '[15169]', '142.250.74.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712687318', 'facebook.com.', '218', 'IN', 'A', '74.86.3.208', '62033', '111.201.28.171']['A', 'biquguan.com.', 'A', 'biquguan.com.', '181', '1712625725000', '0.4533994346857071', '866401023', '0', '0', 'ans', '74.86.3.208', '', 'US', '36351', '[36351]', '74.86.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712682772', 'facebook.com.', '86400', 'IN', 'A', '127.0.0.1', '4233', '46.164.223.23']['A', 'www.worklike.xyz.', 'A', 'www.worklike.xyz.', '300', '1712627742000', '0.007352203130722046', '866401023', '0', '0', 'ans', '127.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712693839', 'facebook.com.', '21', 'IN', 'A', '157.240.201.35', '31971', '109.89.132.150']['A', 'www.registrarsafe.com.', 'A', 'star-mini.c10r.facebook.com.', '60', '1712627521000', '0.015628695487976074', '866401023', '0', '0', 'ans', '157.240.201.35', '', 'NL', '32934', '[32934]', '157.240.201.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712644572', 'google.com.', '44', 'IN', 'A', '172.217.20.206', '60601', '83.141.171.37']['A', 'www.r77vh0.pw.', 'A', 'www.r77vh0.pw.', '86400', '1712628226000', '0.043427348136901855', '866401023', '0', '0', 'ans', '172.217.20.206', '', 'US', '15169', '[15169]', '172.217.20.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712647078', 'facebook.com.', '171', 'IN', 'A', '162.125.83.1', '1003982', '113.113.124.75']['A', 'www.91mjw.com.', 'A', 'www.91mjw.com.', '138', '1712624249000', '0.7933666855096817', '866401023', '0', '0', 'ans', '162.125.83.1', '', 'US', '19679', '[19679]', '162.125.83.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712639228', 'facebook.com.', '163', 'IN', 'A', '185.60.219.41', '1005739', '112.74.38.239']['A', 'mp4ba.com.', 'A', 'mp4ba.com.', '194', '1712623213000', '0.2292456030845642', '866401023', '0', '0', 'ans', '185.60.219.41', '', 'FR', '32934', '[32934]', '185.60.219.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712649116', 'facebook.com.', '69', 'IN', 'A', '130.211.15.150', '54725', '120.229.207.180']['A', 'ntdtv.com.', 'A', 'ntdtv.com.', '3600', '1712621624000', '0.014512807130813599', '866401023', '0', '0', 'ans', '130.211.15.150', '', 'US', '396982', '[396982]', '130.211.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
