['2024-04-10', '1712776913', 'twitter.com.', '218', 'IN', 'AAAA', '2a03:2880:f102:183:face:b00c:0:25de', '1007899', '112.48.5.95']['AAAA', 'avninga.com.', 'AAAA', 'avninga.com.', '155', '1712711605000', '0.13234323263168335', '866401023', '0', '0', 'ans', '', '2a03:2880:f102:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712733713', 'twitter.com.', '158', 'IN', 'AAAA', '2a03:2880:f12c:183:face:b00c:0:25de', '1007899', '112.48.5.95']['AAAA', 'hanjutv.com.', 'AAAA', 'hanjutv.com.', '188', '1712710912000', '0.22712266445159912', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712731135', 'nytimes.com.', '194', 'IN', 'AAAA', '2a03:2880:f12c:83:face:b00c:0:25de', '1000418', '47.98.98.98']['AAAA', '77169.com.', 'AAAA', '77169.com.', '189', '1712715567000', '0.2285509705543518', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712730288', 'nytimes.com.', '119', 'IN', 'AAAA', '2a03:2880:f129:83:face:b00c:0:25de', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['AAAA', '1xbet88.com.', 'AAAA', '1xbet88.com.', '81', '1712707955000', '0.24339067190885544', '866401023', '0', '0', 'ans', '', '2a03:2880:f129:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712774350', 'twitter.com.', '197', 'IN', 'AAAA', '2a03:2880:f11b:83:face:b00c:0:25de', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['AAAA', '181.com.', 'AAAA', '181.com.', '252', '1712712190000', '0.12352969497442245', '866401023', '0', '0', 'ans', '', '2a03:2880:f11b:83:face:b00c:0:25de', 'NL', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712765863', 'nytimes.com.', '250', 'IN', 'AAAA', '2a03:2880:f10d:83:face:b00c:0:25de', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['AAAA', '91mjw.com.', 'AAAA', '91mjw.com.', '113', '1712710874000', '1.2470996379852295', '866401023', '0', '0', 'ans', '', '2a03:2880:f10d:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f10d::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712733140', 'nytimes.com.', '102', 'IN', 'AAAA', '2a03:2880:f11a:83:face:b00c:0:25de', '1001082', '240e:6b3:20:ff05::135']['AAAA', 'www.bnumberonep.asia.', 'AAAA', 'www.bnumberonep.asia.', '192', '1712715323000', '0.15265998244285583', '866401023', '0', '0', 'ans', '', '2a03:2880:f11a:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712756520', 'nytimes.com.', '179', 'IN', 'AAAA', '2a03:2880:f127:283:face:b00c:0:25de', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['AAAA', 'meijutt.com.', 'AAAA', 'meijutt.com.', '139', '1712709786000', '0.2241811752319336', '866401023', '0', '0', 'ans', '', '2a03:2880:f127:283:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712731150', 'twitter.com.', '231', 'IN', 'AAAA', '2a03:2880:f134:183:face:b00c:0:25de', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['AAAA', 'texcn.cn.', 'AAAA', 'texcn.cn.', '161', '1712709627000', '0.14422810077667236', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712732100', 'twitter.com.', '185', 'IN', 'AAAA', '2a03:2880:f10e:83:face:b00c:0:25de', '62897', '27.38.112.69']['AAAA', 'www.91mjw.com.', 'AAAA', 'www.91mjw.com.', '208', '1712710875000', '0.24300889670848846', '866401023', '0', '0', 'ans', '', '2a03:2880:f10e:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10e::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712723282', 'twitter.com.', '112', 'IN', 'AAAA', '2a03:2880:f111:83:face:b00c:0:25de', '55328', '240e:390:898:1140:1:75ff:feac:24bb']['AAAA', 'www.hanjutv.com.', 'AAAA', 'www.hanjutv.com.', '126', '1712710913000', '0.23539292812347412', '866401023', '0', '0', 'ans', '', '2a03:2880:f111:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f111::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
