['2024-04-10', '1712780969', 'facebook.com.', '104', 'IN', 'AAAA', '2a03:2880:f11a:83:face:b00c:0:25de', '1006022', 'fd00:114:514:4:dcb0:cdff:fe1c:e2a4']['AAAA', 'www.bnumberonep.asia.', 'AAAA', 'www.bnumberonep.asia.', '192', '1712715323000', '0.15265998244285583', '866401023', '0', '0', 'ans', '', '2a03:2880:f11a:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712767257', 'facebook.com.', '4', 'IN', 'AAAA', '2a03:2880:f10c:83:face:b00c:0:25de', '54375', '212.62.208.158']['AAAA', 'aichatos.com.', 'AAAA', 'aichatos.com.', '73', '1712708216000', '0.12426471710205078', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712782257', 'facebook.com.', '44', 'IN', 'AAAA', '2a03:2880:f12c:83:face:b00c:0:25de', '53683', '98.208.234.225']['AAAA', '77169.com.', 'AAAA', '77169.com.', '189', '1712715567000', '0.2285509705543518', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712730285', 'facebook.com.', '248', 'IN', 'AAAA', '2a03:2880:f126:83:face:b00c:0:25de', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['AAAA', 'hideipproxy.com.', 'AAAA', 'hideipproxy.com.', '123', '1712710994000', '0.22836144268512726', '866401023', '0', '0', 'ans', '', '2a03:2880:f126:83:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712764008', 'facebook.com.', '191', 'IN', 'AAAA', '2a03:2880:f130:83:face:b00c:0:25de', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['AAAA', 'www.181.com.', 'AAAA', 'www.181.com.', '218', '1712712190000', '0.2194351851940155', '866401023', '0', '0', 'ans', '', '2a03:2880:f130:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712762582', 'facebook.com.', '16', 'IN', 'AAAA', '2a03:2880:f111:83:face:b00c:0:25de', '54214', '65.190.144.154']['AAAA', 'www.hanjutv.com.', 'AAAA', 'www.hanjutv.com.', '126', '1712710913000', '0.23539292812347412', '866401023', '0', '0', 'ans', '', '2a03:2880:f111:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f111::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712765428', 'facebook.com.', '55', 'IN', 'AAAA', '2a03:2880:f134:83:face:b00c:0:25de', '50862', '24.144.31.66']['AAAA', 'globalsdn.com.', 'AAAA', 'globalsdn.com.', '140', '1712715193000', '0.24021221697330475', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712735069', 'facebook.com.', '225', 'IN', 'AAAA', '2a03:2880:f127:83:face:b00c:0:25de', '1007890', '112.48.5.95']['AAAA', 'www.texcn.cn.', 'AAAA', 'www.texcn.cn.', '253', '1712709627000', '0.24512436985969543', '866401023', '0', '0', 'ans', '', '2a03:2880:f127:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712777209', 'facebook.com.', '59', 'IN', 'AAAA', '2a03:2880:f10a:83:face:b00c:0:25de', '62777', '31.208.183.93']['AAAA', 'www.mp4ba.com.', 'AAAA', 'www.mp4ba.com.', '235', '1712709824000', '1.1350461542606354', '866401023', '0', '0', 'ans', '', '2a03:2880:f10a:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10a::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712727047', 'facebook.com.', '127', 'IN', 'AAAA', '2a03:2880:f129:83:face:b00c:0:25de', '51162', '2409:8a55:427:d490:1:adff:fe4f:ea7b']['AAAA', '1xbet88.com.', 'AAAA', '1xbet88.com.', '81', '1712707955000', '0.24339067190885544', '866401023', '0', '0', 'ans', '', '2a03:2880:f129:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712782513', 'facebook.com.', '52', 'IN', 'AAAA', '2a03:2880:f131:83:face:b00c:0:25de', '51943', '67.181.147.174']['AAAA', 'www.meijutt.com.', 'AAAA', 'www.meijutt.com.', '169', '1712709787000', '0.2761389836668968', '866401023', '0', '0', 'ans', '', '2a03:2880:f131:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f131::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
