['2024-04-10', '1712740088', 'facebook.com.', '170', 'IN', 'A', '128.121.243.107', '1001082', '116.6.54.135']['A', '1xbet88.com.', 'A', '1xbet88.com.', '145', '1712707954000', '0.22344505786895752', '866401023', '0', '0', 'ans', '128.121.243.107', '', 'US', '2914', '[2914]', '128.121.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712733710', 'facebook.com.', '167', 'IN', 'A', '69.171.224.36', '14584', '110.231.228.80']['A', 'yunxs.com.', 'A', 'yunxs.com.', '77', '1712708020000', '1.9058401584625244', '866401023', '0', '0', 'ans', '69.171.224.36', '', 'US', '32934', '[32934]', '69.171.224.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712756815', 'facebook.com.', '157', 'IN', 'A', '111.243.214.169', '1007890', '112.48.5.95']['A', 'www.cdaxpropsvc.net.', 'A', 'www.cdaxpropsvc.net.', '248', '1712714813000', '0.22752076387405396', '866401023', '0', '0', 'ans', '111.243.214.169', '', 'TW', '3462', '[3462]', '111.243.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712779641', 'google.com.', '60', 'IN', 'A', '93.46.8.90', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['A', 'www.xf2ylydy.xyz.', 'A', 'www.xf2ylydy.xyz.', '60', '1712716332000', '0.9953605532646179', '866401023', '0', '0', 'ans', '93.46.8.90', '', 'IT', '12874', '[12874]', '93.46.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712779092', 'google.com.', '208', 'IN', 'A', '216.58.206.78', '62173', '2a02:810d:aa3f:e55f:da58:d7ff:fe03:a3b']['A', 'movielab24.com.', 'A', 'movielab24.com.', '76', '1712713355000', '0.012302994728088379', '866401023', '0', '0', 'ans', '216.58.206.78', '', 'US', '15169', '[15169]', '216.58.206.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712769441', 'facebook.com.', '69', 'IN', 'A', '185.45.7.189', '60314', '180.154.35.109']['A', 'www.raidcall.com.', 'A', 'www.raidcall.com.', '95', '1712711817000', '0.24293600022792816', '866401023', '0', '0', 'ans', '185.45.7.189', '', 'GB', '35995', '[35995]', '185.45.6.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712773457', 'google.com.', '300', 'IN', 'A', '142.251.36.14', '53454', '213.244.73.2']['A', 'www.youtube.lt.', 'A', 'youtube-ui.l.google.com.', '300', '1712709978000', '0.0190352201461792', '866401023', '0', '0', 'ans', '142.251.36.14', '', 'US', '15169', '[15169]', '142.251.36.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712782536', 'facebook.com.', '163', 'IN', 'A', '202.160.128.14', '1003715', '159.75.8.103']['A', 'texcn.cn.', 'A', 'texcn.cn.', '110', '1712709627000', '0.24421381950378418', '866401023', '0', '0', 'ans', '202.160.128.14', '', 'SG', '13414', '[13414]', '202.160.128.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712770581', 'facebook.com.', '195', 'IN', 'A', '108.160.162.98', '1006180', '43.143.181.224']['A', 'www.globalsdn.com.', 'A', 'www.globalsdn.com.', '75', '1712715193000', '0.23451776802539825', '866401023', '0', '0', 'ans', '108.160.162.98', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712769173', 'facebook.com.', '86400', 'IN', 'A', '127.0.0.1', '4233', '46.164.228.195']['A', 'uaeqlaa.com.', 'A', 'cdn-qyyv1hqr.cn.cloudcdnv1.cn.', '600', '1712716332000', '0.7549980580806732', '866401023', '0', '0', 'ans', '127.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712767307', 'google.com.', '285', 'IN', 'A', '172.217.18.142', '1006673', '152.36.205.42']['A', 'www.apanel.link.', 'A', 'www.apanel.link.', '1799', '1712710069000', '0.007111012935638428', '866401023', '0', '0', 'ans', '172.217.18.142', '', 'DE', '15169', '[15169]', '172.217.18.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712775628', 'google.com.', '59', 'IN', 'A', '142.251.36.46', '11035', '85.146.95.127']['A', 'wesolveforx.com.', 'A', 'wesolveforx.com.', '300', '1712716156000', '0.018189191818237305', '866401023', '0', '0', 'ans', '142.251.36.46', '', 'US', '15169', '[15169]', '142.251.36.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712777339', 'facebook.com.', '252', 'IN', 'A', '4.78.139.54', '1001082', '116.6.54.135']['A', 'www.mhradio.org.', 'A', 'mhradio.org.', '3600', '1712709744000', '0.010431326925754547', '866401023', '0', '0', 'ans', '4.78.139.54', '', 'US', '3356', '[3356]', '4.0.0.0/9', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712773289', 'facebook.com.', '239', 'IN', 'A', '156.233.67.243', '1002087', '111.203.76.21']['A', 'www.114zw.la.', 'A', 'www.114zw.la.', '214', '1712715206000', '0.23464322090148926', '866401023', '0', '0', 'ans', '156.233.67.243', '', 'BR', '984', '[984]', '156.233.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712782013', 'google.com.', '213', 'IN', 'A', '216.58.206.46', '60266', '80.187.119.24']['A', 'xn--80adrhdph0a8l.com.', 'A', 'xn--80adrhdph0a8l.com.', '90', '1712710483000', '0.01662057638168335', '866401023', '0', '0', 'ans', '216.58.206.46', '', 'US', '15169', '[15169]', '216.58.206.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712740240', 'facebook.com.', '128', 'IN', 'A', '128.242.240.61', '1000418', '2408:4005:200:5006::1']['A', 'm88sb.com.', 'A', 'm88sb.com.', '149', '1712710289000', '0.2561012804508209', '866401023', '0', '0', 'ans', '128.242.240.61', '', 'US', '2914', '[2914]', '128.242.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
