['2024-04-11', '1712801092', 'twitter.com.', '222', 'IN', 'AAAA', '2a03:2880:f12c:83:face:b00c:0:25de', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['AAAA', 'du11du.com.', 'AAAA', 'du11du.com.', '179', '1712800106000', '0.7367503196001053', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712860947', 'twitter.com.', '97', 'IN', 'AAAA', '2a03:2880:f12a:83:face:b00c:0:25de', '1000418', '47.98.98.98']['AAAA', 'www.1xbet88.com.', 'AAAA', 'www.1xbet88.com.', '223', '1712794090000', '0.25091730058193207', '866401023', '0', '0', 'ans', '', '2a03:2880:f12a:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712859571', 'twitter.com.', '118', 'IN', 'AAAA', '2a03:2880:f117:83:face:b00c:0:25de', '1002087', '111.203.76.21']['AAAA', 'www.mp4ba.com.', 'AAAA', 'www.mp4ba.com.', '79', '1712795844000', '0.2361445426940918', '866401023', '0', '0', 'ans', '', '2a03:2880:f117:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712805870', 'nytimes.com.', '156', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['AAAA', 'www.77169.com.', 'AAAA', 'www.77169.com.', '68', '1712801620000', '0.23459091782569885', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712852265', 'nytimes.com.', '82', 'IN', 'AAAA', '2a03:2880:f134:83:face:b00c:0:25de', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['AAAA', 'm88sb.com.', 'AAAA', 'm88sb.com.', '235', '1712796311000', '0.2392227053642273', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712799721', 'nytimes.com.', '72', 'IN', 'AAAA', '2a03:2880:f12d:83:face:b00c:0:25de', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['AAAA', 'www.aichatos.com.', 'AAAA', 'www.aichatos.com.', '217', '1712794392000', '0.23670169711112976', '866401023', '0', '0', 'ans', '', '2a03:2880:f12d:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712858575', 'nytimes.com.', '79', 'IN', 'AAAA', '2a03:2880:f10e:83:face:b00c:0:25de', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['AAAA', 'raidcall.com.', 'AAAA', 'raidcall.com.', '109', '1712797746000', '1.005472645163536', '866401023', '0', '0', 'ans', '', '2a03:2880:f10e:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10e::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712819524', 'twitter.com.', '166', 'IN', 'AAAA', '2a03:2880:f11c:8183:face:b00c:0:25de', '1007740', '2409:8a55:d84e:7c31:fc82:9ff:fe9a:b658']['AAAA', 'www.m88sb.com.', 'AAAA', 'www.m88sb.com.', '228', '1712796311000', '0.2336786985397339', '866401023', '0', '0', 'ans', '', '2a03:2880:f11c:8183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712852879', 'twitter.com.', '131', 'IN', 'AAAA', '2a03:2880:f136:83:face:b00c:0:25de', '55328', '240e:390:898:1140:1:75ff:feac:24bb']['AAAA', 'maxreader.net.', 'AAAA', 'maxreader.net.', '200', '1712797563000', '0.25855857133865356', '866401023', '0', '0', 'ans', '', '2a03:2880:f136:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f136::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712861700', 'twitter.com.', '203', 'IN', 'AAAA', '2a03:2880:f11f:83:face:b00c:0:25de', '62897', '27.38.112.69']['AAAA', 'hideipproxy.com.', 'AAAA', 'hideipproxy.com.', '67', '1712797034000', '0.16699263453483582', '866401023', '0', '0', 'ans', '', '2a03:2880:f11f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712842921', 'nytimes.com.', '202', 'IN', 'AAAA', '2a03:2880:f130:83:face:b00c:0:25de', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['AAAA', 'www.xiaoshuowu.com.', 'AAAA', 'www.xiaoshuowu.com.', '194', '1712797919000', '0.3811359852552414', '866401023', '0', '0', 'ans', '', '2a03:2880:f130:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
