['2024-04-11', '1712860625', 'twitter.com.', '1779', 'IN', 'A', '104.244.42.193', '11743', '2a0d:d05:300:3911:fa1a:67ff:fe4d:6bac']['A', 'twitterinc.com.', 'A', 'twitterinc.com.', '3600', '1712799313000', '0.017455697059631348', '866401023', '0', '0', 'ans', '104.244.42.193', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712862153', 'twitter.com.', '1470', 'IN', 'A', '104.244.42.65', '55655', '2601:602:8901:f270:1:42ff:fe58:b864']['A', 'twitterinc.com.', 'A', 'twitterinc.com.', '3600', '1712799313000', '0.017455697059631348', '866401023', '0', '0', 'ans', '104.244.42.65', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712862430', 'twitter.com.', '60', 'IN', 'A', '10.10.34.35', '7027', '2a05:9a00:1001:1::2']['A', 'www.jd-vpn.shop.', 'A', 'www.jd-vpn.shop.', '300', '1712797245000', '0.014317058026790619', '866401023', '0', '0', 'ans', '10.10.34.35', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712810505', 'twitter.com.', '223', 'IN', 'A', '104.244.46.52', '1006180', '43.143.181.224']['A', 'www.aichatos.com.', 'A', 'www.aichatos.com.', '184', '1712794392000', '0.15933845192193985', '866401023', '0', '0', 'ans', '104.244.46.52', '', 'US', '13414', '[13414]', '104.244.46.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712817975', 'twitter.com.', '101', 'IN', 'A', '199.96.58.157', '1000418', '2408:4005:200:5006::1']['A', 'www.77169.com.', 'A', 'www.77169.com.', '91', '1712801619000', '0.22314441949129105', '866401023', '0', '0', 'ans', '199.96.58.157', '', 'US', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712851422', 'nytimes.com.', '76', 'IN', 'A', '69.171.229.11', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['A', 'facebook.com.tr.', 'A', 'facebook.com.tr.', '86400', '1712800320000', '0.016163110733032227', '866401023', '0', '0', 'ans', '69.171.229.11', '', 'US', '32934', '[32934]', '69.171.224.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712818542', 'nytimes.com.', '181', 'IN', 'A', '118.107.180.216', '1001082', '116.6.54.135']['A', 'www.texcn.cn.', 'A', 'www.texcn.cn.', '187', '1712795598000', '0.132706880569458', '866401023', '0', '0', 'ans', '118.107.180.216', '', 'PS', '12975', '[12975]', '118.107.180.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712863156', 'twitter.com.', '990', 'IN', 'A', '104.244.42.129', '26439', '2a10:d582:280b:0:c66e:1fff:fe3a:d734']['A', 'twitterinc.com.', 'A', 'twitterinc.com.', '3600', '1712799313000', '0.017455697059631348', '866401023', '0', '0', 'ans', '104.244.42.129', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712860646', 'nytimes.com.', '70', 'IN', 'A', '104.244.43.104', '1005595', '59.110.138.30']['A', 'maxreader.net.', 'A', 'maxreader.net.', '123', '1712797563000', '0.24858172237873077', '866401023', '0', '0', 'ans', '104.244.43.104', '', 'US', '54113', '[54113]', '104.244.43.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712862742', 'nytimes.com.', '125', 'IN', 'A', '198.27.124.186', '1001082', '240e:6b3:20:ff05::135']['A', '91mjw.com.', 'A', '91mjw.com.', '176', '1712796863000', '0.3605678901076317', '866401023', '0', '0', 'ans', '198.27.124.186', '', 'CA', '16276', '[16276]', '198.27.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712855978', 'univ-grenoble-alpes.fr.', '0', 'IN', 'A', '10.0.0.1', '62194', '98.53.206.239']['A', 'web.pk.', 'A', 'web.pk.', '86400', '1712799111000', '0.17805856466293335', '866401023', '0', '0', 'ans', '10.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
