['2024-04-11', '1712821622', 'facebook.com.', '224', 'IN', 'AAAA', '2a03:2880:f117:83:face:b00c:0:25de', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['AAAA', 'www.mp4ba.com.', 'AAAA', 'www.mp4ba.com.', '79', '1712795844000', '0.2361445426940918', '866401023', '0', '0', 'ans', '', '2a03:2880:f117:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712851828', 'facebook.com.', '4', 'IN', 'AAAA', '2a03:2880:f134:83:face:b00c:0:25de', '50862', '24.144.31.66']['AAAA', 'm88sb.com.', 'AAAA', 'm88sb.com.', '235', '1712796311000', '0.2392227053642273', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712866885', 'facebook.com.', '0', 'IN', 'AAAA', '2a03:2880:f10f:83:face:b00c:0:25de', '32332', '240d:1e:207:1400:1ad6:c7ff:fef2:f536']['AAAA', '95shubao.net.', 'AAAA', '95shubao.net.', '108', '1712802042000', '0.31035442650318146', '866401023', '0', '0', 'ans', '', '2a03:2880:f10f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10f::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712820045', 'facebook.com.', '18', 'IN', 'AAAA', '2a03:2880:f12c:83:face:b00c:0:25de', '51812', '104.56.90.236']['AAAA', 'du11du.com.', 'AAAA', 'du11du.com.', '179', '1712800106000', '0.7367503196001053', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712853659', 'facebook.com.', '177', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '54375', '212.62.208.158']['AAAA', 'www.77169.com.', 'AAAA', 'www.77169.com.', '68', '1712801620000', '0.23459091782569885', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712858075', 'facebook.com.', '53', 'IN', 'AAAA', '2a03:2880:f134:183:face:b00c:0:25de', '50995', '76.154.85.8']['AAAA', 'globalsdn.com.', 'AAAA', 'globalsdn.com.', '162', '1712801267000', '0.1373249888420105', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712823285', 'facebook.com.', '149', 'IN', 'AAAA', '2a03:2880:f130:83:face:b00c:0:25de', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['AAAA', 'www.xiaoshuowu.com.', 'AAAA', 'www.xiaoshuowu.com.', '194', '1712797919000', '0.3811359852552414', '866401023', '0', '0', 'ans', '', '2a03:2880:f130:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712862906', 'facebook.com.', '18', 'IN', 'AAAA', '2a03:2880:f145:82:face:b00c:0:25de', '29989', '84.87.175.131']['AAAA', 'www.facebook.com.tr.', 'AAAA', 'star-mini.c10r.facebook.com.', '60', '1712800320000', '0.006070494651794434', '866401023', '0', '0', 'ans', '', '2a03:2880:f145:82:face:b00c:0:25de', 'NL', '32934', '[32934]', '2a03:2880:f145::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712862991', 'facebook.com.', '6', 'IN', 'AAAA', '2a03:2880:f107:83:face:b00c:0:25de', '20973', '188.123.99.99']['AAAA', '1xbet88.com.', 'AAAA', '1xbet88.com.', '162', '1712794090000', '0.24934962391853333', '866401023', '0', '0', 'ans', '', '2a03:2880:f107:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f107::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712812481', 'facebook.com.', '78', 'IN', 'AAAA', '2a03:2880:f127:83:face:b00c:0:25de', '62897', '27.38.112.69']['AAAA', '77169.com.', 'AAAA', '77169.com.', '165', '1712801620000', '0.24903948605060577', '866401023', '0', '0', 'ans', '', '2a03:2880:f127:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712862966', 'facebook.com.', '59', 'IN', 'AAAA', '2a03:2880:f173:81:face:b00c:0:25de', '51625', '62.45.43.187']['AAAA', 'www.registrarsafe.com.', 'AAAA', 'star-mini.c10r.facebook.com.', '60', '1712800123000', '0.00024859607219696045', '866401023', '0', '0', 'ans', '', '2a03:2880:f173:81:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f173::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
