['2024-04-11', '1712808421', 'google.com.', '287', 'IN', 'A', '216.58.208.110', '1006296', '46.253.164.68']['A', 'financeleadsonline.com.', 'A', 'financeleadsonline.com.', '300', '1712800135000', '0.02483677864074707', '866401023', '0', '0', 'ans', '216.58.208.110', '', 'US', '15169', '[15169]', '216.58.208.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712813272', 'facebook.com.', '165', 'IN', 'A', '74.86.12.172', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['A', 'globalsdn.com.', 'A', 'globalsdn.com.', '191', '1712801266000', '0.243385910987854', '866401023', '0', '0', 'ans', '74.86.12.172', '', 'US', '36351', '[36351]', '74.86.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712807501', 'google.com.', '240', 'IN', 'A', '142.250.179.142', '1007269', '185.43.245.154']['A', 'accounts-users.shop.', 'A', 'accounts-users.shop.', '36', '1712799684000', '0.007045924663543701', '866401023', '0', '0', 'ans', '142.250.179.142', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712826223', 'facebook.com.', '78', 'IN', 'A', '130.211.15.150', '1006779', '115.218.235.59']['A', 'ntdtv.com.', 'A', 'ntdtv.com.', '3600', '1712794182000', '0.008888483047485352', '866401023', '0', '0', 'ans', '130.211.15.150', '', 'US', '396982', '[396982]', '130.211.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712864433', 'google.com.', '59', 'IN', 'A', '172.217.168.238', '11035', '85.146.95.127']['A', 'www.youtube.com.co.', 'A', 'youtube-ui.l.google.com.', '300', '1712796633000', '0.009299159049987793', '866401023', '0', '0', 'ans', '172.217.168.238', '', 'US', '15169', '[15169]', '172.217.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712870197', 'google.com.', '249', 'IN', 'A', '142.250.186.78', '11003', '91.226.35.250']['A', 'kinoroomba.com.', 'A', 'kinoroomba.com.', '161', '1712799738000', '0.012884438037872314', '866401023', '0', '0', 'ans', '142.250.186.78', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712862157', 'facebook.com.', '129', 'IN', 'A', '157.240.17.14', '1000418', '47.98.98.98']['A', 'www.m88sb.com.', 'A', 'www.m88sb.com.', '144', '1712796311000', '0.24047189950942993', '866401023', '0', '0', 'ans', '157.240.17.14', '', 'CH', '32934', '[32934]', '157.240.17.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712859680', 'google.com.', '141', 'IN', 'A', '142.250.179.174', '24028', '77.175.222.79']['A', 'www.se1f.cc.', 'A', 'google.com.', '300', '1712800238000', '0.047607213258743286', '866401023', '0', '0', 'ans', '142.250.179.174', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712864995', 'facebook.com.', '2', 'IN', 'A', '0.0.0.0', '1005507', '151.251.136.49']['A', 'www.sbops.com.', 'A', 'sbops.com.', '600', '1712800301000', '0.02119213342666626', '866401023', '0', '0', 'ans', '0.0.0.0', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712811268', 'facebook.com.', '97', 'IN', 'A', '108.160.170.26', '1005739', '112.74.38.239']['A', 'www.raidcall.com.', 'A', 'www.raidcall.com.', '148', '1712797745000', '0.24447889626026154', '866401023', '0', '0', 'ans', '108.160.170.26', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712855569', 'facebook.com.', '86400', 'IN', 'A', '127.0.0.1', '4233', '83.139.179.34']['A', 'www.appkings.co.ke.', 'A', 'woza.me.', '1800', '1712800393000', '0.17088854312896729', '866401023', '0', '0', 'ans', '127.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712827055', 'google.com.', '59', 'IN', 'A', '216.58.214.14', '29989', '84.87.175.131']['A', 'youtube.com.jm.', 'A', 'youtube.com.jm.', '300', '1712796551000', '0.009214043617248535', '866401023', '0', '0', 'ans', '216.58.214.14', '', 'US', '15169', '[15169]', '216.58.214.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712856198', 'facebook.com.', '81', 'IN', 'A', '199.16.156.103', '61553', '58.23.45.62']['A', 'm88sb.com.', 'A', 'm88sb.com.', '130', '1712796311000', '0.25444383919239044', '866401023', '0', '0', 'ans', '199.16.156.103', '', 'US', '13414', '[13414]', '199.16.156.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712867750', 'facebook.com.', '74', 'IN', 'A', '75.126.135.131', '1005525', '39.107.25.235']['A', 'www.xyusk.com.', 'A', 'www.xyusk.com.', '124', '1712801585000', '0.36611059308052063', '866401023', '0', '0', 'ans', '75.126.135.131', '', 'US', '36351', '[36351]', '75.126.128.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
