['2024-04-12', '1712947021', 'twitter.com.', '1718', 'IN', 'A', '104.244.42.1', '11743', '2a0d:d05:300:3911:fa1a:67ff:fe4d:6bac']['A', 'twitter.jp.', 'A', 'twitter.jp.', '1800', '1712888539000', '0.006755553185939789', '866401023', '0', '0', 'ans', '104.244.42.1', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712942892', 'univ-grenoble-alpes.fr.', '60', 'IN', 'A', '208.91.112.55', '55290', '212.114.28.87']['A', 'www.fiscalizacion.cl.', 'A', 'www.fiscalizacion.cl.', '60', '1712882152000', '0.21114474534988403', '866401023', '0', '0', 'ans', '208.91.112.55', '', 'US', '40934', '[40934]', '208.91.112.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712945054', 'twitter.com.', '128', 'IN', 'A', '162.125.83.1', '1001082', '240e:6b3:20:ff05::135']['A', '91mjw.com.', 'A', '91mjw.com.', '179', '1712883216000', '0.251712903380394', '866401023', '0', '0', 'ans', '162.125.83.1', '', 'US', '19679', '[19679]', '162.125.83.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712892532', 'nytimes.com.', '181', 'IN', 'A', '157.240.1.9', '14584', '110.231.228.80']['A', 'www.383.com.', 'A', 'www.383.com.', '91', '1712888427000', '0.2556234896183014', '866401023', '0', '0', 'ans', '157.240.1.9', '', 'US', '32934', '[32934]', '157.240.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712948560', 'nytimes.com.', '64', 'IN', 'A', '151.101.193.164', '55655', '2601:602:8901:f270:1:42ff:fe58:b864']['A', 'nytco.com.', 'A', 'nytco.com.', '500', '1712882288000', '0.009866736829280853', '866401023', '0', '0', 'ans', '151.101.193.164', '', 'US', '54113', '[54113]', '151.101.192.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712948965', 'twitter.com.', '418', 'IN', 'A', '10.10.34.36', '6591', '2a07:4280:0:48::40']['A', 'www.rubik-music.ir.', 'A', 'www.rubik-music.ir.', '418', '1712881882000', '0.1043899655342102', '866401023', '0', '0', 'ans', '10.10.34.36', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712897255', 'nytimes.com.', '149', 'IN', 'A', '199.59.148.7', '1003978', '39.102.163.20']['A', 'clg88.cc.', 'A', 'clg88.cc.', '229', '1712881428000', '0.2624255418777466', '866401023', '0', '0', 'ans', '199.59.148.7', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712930510', 'nytimes.com.', '230', 'IN', 'A', '69.63.178.13', '1001082', '240e:6b3:20:ff05::135']['A', 'www.77169.com.', 'A', 'www.77169.com.', '251', '1712888016000', '0.5110215321183205', '866401023', '0', '0', 'ans', '69.63.178.13', '', 'US', '32934', '[32934]', '69.63.176.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712892912', 'nytimes.com.', '188', 'IN', 'A', '69.171.242.11', '1006022', '58.41.14.231']['A', 'thefacebook.co.in.', 'A', 'thefacebook.co.in.', '86400', '1712885203000', '0.015194341540336609', '866401023', '0', '0', 'ans', '69.171.242.11', '', 'US', '32934', '[32934]', '69.171.240.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712940094', 'twitter.com.', '140', 'IN', 'A', '128.242.240.117', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['A', 'cdaxpropsvc.net.', 'A', 'cdaxpropsvc.net.', '213', '1712887139000', '0.45167985558509827', '866401023', '0', '0', 'ans', '128.242.240.117', '', 'US', '2914', '[2914]', '128.242.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
