['2024-04-12', '1712947731', 'facebook.com.', '59', 'IN', 'AAAA', '2a03:2880:f173:81:face:b00c:0:25de', '11035', '85.146.95.127']['AAAA', 'www.fbook.mobi.', 'AAAA', 'star-mini.c10r.facebook.com.', '60', '1712888434000', '0.2549566775560379', '866401023', '0', '0', 'ans', '', '2a03:2880:f173:81:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f173::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712901200', 'facebook.com.', '300', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '52280', '194.36.59.113']['AAAA', 'www.91mjw.com.', 'AAAA', 'www.91mjw.com.', '237', '1712883217000', '0.4910123944282532', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712955311', 'facebook.com.', '47', 'IN', 'AAAA', '2a03:2880:f131:83:face:b00c:0:25de', '51943', '67.181.147.174']['AAAA', 'www.foxs.top.', 'AAAA', 'www.foxs.top.', '84', '1712887808000', '0.1465403437614441', '866401023', '0', '0', 'ans', '', '2a03:2880:f131:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f131::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712949388', 'facebook.com.', '13', 'IN', 'AAAA', '2a03:2880:f107:83:face:b00c:0:25de', '20973', '188.123.99.99']['AAAA', 'raidcall.com.', 'AAAA', 'raidcall.com.', '84', '1712884122000', '0.24415847659111023', '866401023', '0', '0', 'ans', '', '2a03:2880:f107:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f107::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712911431', 'facebook.com.', '152', 'IN', 'AAAA', '2a03:2880:f127:83:face:b00c:0:25de', '54725', '2409:8a55:2ea7:6010:1:20ff:fe20:90fc']['AAAA', '9txs.com.', 'AAAA', '9txs.com.', '173', '1712882099000', '0.1549064815044403', '866401023', '0', '0', 'ans', '', '2a03:2880:f127:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712913196', 'facebook.com.', '121', 'IN', 'AAAA', '2a03:2880:f117:83:face:b00c:0:25de', '1007740', '2409:8a55:d847:cd71:fc82:9ff:fe9a:b658']['AAAA', 'www.raidcall.com.', 'AAAA', 'www.raidcall.com.', '69', '1712884122000', '0.24723711609840393', '866401023', '0', '0', 'ans', '', '2a03:2880:f117:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712936808', 'facebook.com.', '135', 'IN', 'AAAA', '2a03:2880:f11a:83:face:b00c:0:25de', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['AAAA', 'meijutt.com.', 'AAAA', 'meijutt.com.', '105', '1712882233000', '0.48574063181877136', '866401023', '0', '0', 'ans', '', '2a03:2880:f11a:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712910947', 'facebook.com.', '149', 'IN', 'AAAA', '2a03:2880:f12d:83:face:b00c:0:25de', '1005525', '39.107.25.235']['AAAA', 'www.maxreader.net.', 'AAAA', 'www.maxreader.net.', '89', '1712883840000', '0.24605285376310349', '866401023', '0', '0', 'ans', '', '2a03:2880:f12d:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712941390', 'facebook.com.', '125', 'IN', 'AAAA', '2a03:2880:f129:83:face:b00c:0:25de', '63067', '2409:8a3c:5118:64f0:da58:d7ff:fe03:5d9']['AAAA', 'hideipproxy.com.', 'AAAA', 'hideipproxy.com.', '201', '1712883435000', '0.24840688705444336', '866401023', '0', '0', 'ans', '', '2a03:2880:f129:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712956043', 'facebook.com.', '137', 'IN', 'AAAA', '2a03:2880:f11c:8183:face:b00c:0:25de', '1006779', '115.218.235.59']['AAAA', 'www.aichatos.com.', 'AAAA', 'www.aichatos.com.', '225', '1712880864000', '0.23336096107959747', '866401023', '0', '0', 'ans', '', '2a03:2880:f11c:8183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712908570', 'facebook.com.', '59', 'IN', 'AAAA', '2a03:2880:f10d:183:face:b00c:0:25de', '31313', '142.129.67.192']['AAAA', '95shubao.net.', 'AAAA', '95shubao.net.', '117', '1712888454000', '0.262108713388443', '866401023', '0', '0', 'ans', '', '2a03:2880:f10d:183:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f10d::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
