['2024-04-12', '1712951939', 'google.com.', '206', 'IN', 'A', '142.250.80.110', '50253', '70.88.254.62']['A', 'www.scnservers.net.', 'A', 'scnservers.net.', '300', '1712882051000', '0.013894468545913696', '866401023', '0', '0', 'ans', '142.250.80.110', '', 'US', '15169', '[15169]', '142.250.80.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712906492', 'google.com.', '92', 'IN', 'A', '216.58.206.78', '51952', '46.21.81.95']['A', 'kinoz.skin.', 'A', 'kinoz.skin.', '260', '1712888166000', '0.012879550457000732', '866401023', '0', '0', 'ans', '216.58.206.78', '', 'US', '15169', '[15169]', '216.58.206.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712951858', 'facebook.com.', '16', 'IN', 'A', '157.240.201.35', '62173', '2a02:810d:aa3f:e55f:da58:d7ff:fe03:a3b']['A', 'www.facebook.mobi.', 'A', 'star-mini.c10r.facebook.com.', '60', '1712888359000', '0.04944688081741333', '866401023', '0', '0', 'ans', '157.240.201.35', '', 'NL', '32934', '[32934]', '157.240.201.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712943657', 'google.com.', '221', 'IN', 'A', '142.250.179.174', '51625', '62.45.43.187']['A', 'pageview.mobi.', 'A', 'pageview.mobi.', '300', '1712888509000', '0.01884639263153076', '866401023', '0', '0', 'ans', '142.250.179.174', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712948782', 'google.com.', '164', 'IN', 'A', '142.250.179.110', '60601', '83.141.171.37']['A', 'www.darktv.nl.', 'A', 'www.darktv.nl.', '900', '1712881219000', '0.011823594570159912', '866401023', '0', '0', 'ans', '142.250.179.110', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712907455', 'facebook.com.', '81', 'IN', 'A', '108.160.167.167', '1006022', '58.41.14.231']['A', 'hideipproxy.com.', 'A', 'hideipproxy.com.', '138', '1712883435000', '0.2359924465417862', '866401023', '0', '0', 'ans', '108.160.167.167', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712945869', 'google.com.', '202', 'IN', 'A', '172.217.16.206', '33212', '80.94.170.178']['A', 'lordfilm7.com.', 'A', 'lordfilm7.com.', '49', '1712883683000', '0.013523250818252563', '866401023', '0', '0', 'ans', '172.217.16.206', '', 'US', '15169', '[15169]', '172.217.16.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712952800', 'facebook.com.', '191', 'IN', 'A', '199.59.148.7', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['A', 'clg88.cc.', 'A', 'clg88.cc.', '229', '1712881428000', '0.2624255418777466', '866401023', '0', '0', 'ans', '199.59.148.7', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712937429', 'facebook.com.', '210', 'IN', 'A', '162.125.34.133', '1006779', '115.218.235.59']['A', 'xiguayul.com.', 'A', 'xiguayul.com.', '165', '1712880532000', '17.623601973056793', '866401023', '0', '0', 'ans', '162.125.34.133', '', 'US', '19679', '[19679]', '162.125.32.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712947726', 'google.com.', '98', 'IN', 'A', '172.217.168.238', '11035', '85.146.95.127']['A', 'getbumptop.com.', 'A', 'getbumptop.com.', '300', '1712885159000', '0.005608797073364258', '866401023', '0', '0', 'ans', '172.217.168.238', '', 'US', '15169', '[15169]', '172.217.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712951397', 'facebook.com.', '2', 'IN', 'A', '0.0.0.0', '1005507', '151.251.136.49']['A', 'cesu-as.fr.', 'A', 'cesu-as.fr.', '33200', '1712888417000', '0.030413314700126648', '866401023', '0', '0', 'ans', '0.0.0.0', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
