['2024-04-13', '1713034503', 'twitter.com.', '220', 'IN', 'AAAA', '2a03:2880:f11c:8183:face:b00c:0:25de', '62897', '27.38.112.69']['AAAA', 'www.meijutt.com.', 'AAAA', 'www.meijutt.com.', '160', '1712968717000', '0.24212586879730225', '866401023', '0', '0', 'ans', '', '2a03:2880:f11c:8183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713019244', 'nytimes.com.', '163', 'IN', 'AAAA', '2a03:2880:f130:83:face:b00c:0:25de', '54725', '2409:8a55:2ea7:6010:1:20ff:fe20:90fc']['AAAA', 'www.aichatos.com.', 'AAAA', 'www.aichatos.com.', '122', '1712967308000', '0.2484402358531952', '866401023', '0', '0', 'ans', '', '2a03:2880:f130:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712976041', 'nytimes.com.', '191', 'IN', 'AAAA', '2a03:2880:f102:183:face:b00c:0:25de', '54725', '2409:8a55:2ea7:6010:1:20ff:fe20:90fc']['AAAA', 'meijutt.com.', 'AAAA', 'meijutt.com.', '228', '1712968717000', '0.7009081244468689', '866401023', '0', '0', 'ans', '', '2a03:2880:f102:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713021033', 'nytimes.com.', '145', 'IN', 'AAAA', '2a03:2880:f134:83:face:b00c:0:25de', '1007890', '112.48.5.95']['AAAA', 'www.texcn.cn.', 'AAAA', 'www.texcn.cn.', '165', '1712968540000', '0.13003534078598022', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713034732', 'twitter.com.', '162', 'IN', 'AAAA', '2a03:2880:f10c:83:face:b00c:0:25de', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['AAAA', 'aichatos.com.', 'AAAA', 'aichatos.com.', '213', '1712967307000', '0.23626708984375', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713031505', 'twitter.com.', '183', 'IN', 'AAAA', '2a03:2880:f111:83:face:b00c:0:25de', '1005738', '47.108.31.175']['AAAA', 'www.foxs.top.', 'AAAA', 'www.foxs.top.', '129', '1712974270000', '0.14934420585632324', '866401023', '0', '0', 'ans', '', '2a03:2880:f111:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f111::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713031373', 'nytimes.com.', '107', 'IN', 'AAAA', '2a03:2880:f11b:83:face:b00c:0:25de', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['AAAA', 'www.91mjw.com.', 'AAAA', 'www.91mjw.com.', '209', '1712969884000', '0.48401114344596863', '866401023', '0', '0', 'ans', '', '2a03:2880:f11b:83:face:b00c:0:25de', 'NL', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713034822', 'nytimes.com.', '69', 'IN', 'AAAA', '2a03:2880:f10a:83:face:b00c:0:25de', '62897', '27.38.112.69']['AAAA', 'www.hideipproxy.com.', 'AAAA', 'www.hideipproxy.com.', '210', '1712969935000', '0.2723096236586571', '866401023', '0', '0', 'ans', '', '2a03:2880:f10a:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10a::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712985968', 'nytimes.com.', '187', 'IN', 'AAAA', '2a03:2880:f136:83:face:b00c:0:25de', '55328', '240e:390:893:5b20:1:75ff:feac:24bb']['AAAA', 'mp4ba.com.', 'AAAA', 'mp4ba.com.', '142', '1712968752000', '0.23826027661561966', '866401023', '0', '0', 'ans', '', '2a03:2880:f136:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f136::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713023814', 'twitter.com.', '139', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '60314', '180.154.35.109']['AAAA', '91mjw.com.', 'AAAA', '91mjw.com.', '106', '1712969883000', '0.3421214520931244', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713025863', 'nytimes.com.', '199', 'IN', 'AAAA', '2a03:2880:f12d:83:face:b00c:0:25de', '63067', '2409:8a3c:5118:64f0:da58:d7ff:fe03:5d9']['AAAA', 'globalsdn.com.', 'AAAA', 'globalsdn.com.', '162', '1712974131000', '0.2540701627731323', '866401023', '0', '0', 'ans', '', '2a03:2880:f12d:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
