['2024-04-13', '1713028778', 'univ-grenoble-alpes.fr.', '0', 'IN', 'A', '10.0.0.1', '62194', '98.53.206.239']['A', 'dc-storm.com.', 'A', 'dc-storm.com.', '86400', '1712968782000', '0.008582167327404022', '866401023', '0', '1', 'ans', '10.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712992169', 'nytimes.com.', '201', 'IN', 'A', '108.160.170.33', '1007740', '223.74.111.155']['A', 'www.xyusk.com.', 'A', 'www.xyusk.com.', '219', '1712974542000', '0.227868914604187', '866401023', '0', '0', 'ans', '108.160.170.33', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713030385', 'nytimes.com.', '237', 'IN', 'A', '128.242.240.189', '1006779', '115.218.235.167']['A', 'www.texcn.cn.', 'A', 'www.texcn.cn.', '81', '1712968540000', '0.1494923084974289', '866401023', '0', '0', 'ans', '128.242.240.189', '', 'US', '2914', '[2914]', '128.242.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712977137', 'twitter.com.', '213', 'IN', 'A', '69.63.178.13', '1006022', 'fd00:114:514:4:dcb0:cdff:fe1c:e2a4']['A', 'hideipproxy.com.', 'A', 'hideipproxy.com.', '251', '1712969934000', '0.4269979000091553', '866401023', '0', '0', 'ans', '69.63.178.13', '', 'US', '32934', '[32934]', '69.63.176.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713020880', 'twitter.com.', '249', 'IN', 'A', '199.96.62.41', '1007890', '112.48.5.95']['A', 'mp4ba.com.', 'A', 'mp4ba.com.', '210', '1712968751000', '0.2528550326824188', '866401023', '0', '0', 'ans', '199.96.62.41', '', 'US', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713021012', 'nytimes.com.', '99', 'IN', 'A', '199.96.58.85', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['A', 'www.raidcall.com.', 'A', 'www.raidcall.com.', '158', '1712970618000', '0.2341119796037674', '866401023', '0', '0', 'ans', '199.96.58.85', '', 'US', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713016878', 'nytimes.com.', '95', 'IN', 'A', '174.36.196.242', '1001082', '116.6.54.135']['A', '80s.tw.', 'A', '80s.tw.', '118', '1712972395000', '0.2217969298362732', '866401023', '0', '0', 'ans', '174.36.196.242', '', 'US', '36351', '[36351]', '174.36.192.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713024128', 'nytimes.com.', '231', 'IN', 'A', '199.59.149.230', '60314', '180.154.35.109']['A', '95shubao.net.', 'A', '95shubao.net.', '127', '1712974962000', '0.2274007797241211', '866401023', '0', '0', 'ans', '199.59.149.230', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712981770', 'twitter.com.', '207', 'IN', 'A', '69.171.229.11', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['A', 'thefacebook.co.in.', 'A', 'thefacebook.co.in.', '86400', '1712971654000', '0.01001042127609253', '866401023', '0', '0', 'ans', '69.171.229.11', '', 'US', '32934', '[32934]', '69.171.224.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712987188', 'nytimes.com.', '241', 'IN', 'A', '4.78.139.54', '1006779', '115.218.235.59']['A', 'www.mhradio.org.', 'A', 'mhradio.org.', '3600', '1712968685000', '0.02520519495010376', '866401023', '0', '0', 'ans', '4.78.139.54', '', 'US', '3356', '[3356]', '4.0.0.0/9', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713032693', 'nytimes.com.', '203', 'IN', 'A', '159.138.20.20', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['A', 'www.globalsdn.com.', 'A', 'www.globalsdn.com.', '190', '1712974131000', '0.14386478066444397', '866401023', '0', '0', 'ans', '159.138.20.20', '', 'HK', '136907', '[136907]', '159.138.20.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
