['2024-04-13', '1712996085', 'facebook.com.', '138', 'IN', 'AAAA', '2a03:2880:f136:83:face:b00c:0:25de', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['AAAA', 'mp4ba.com.', 'AAAA', 'mp4ba.com.', '142', '1712968752000', '0.23826027661561966', '866401023', '0', '0', 'ans', '', '2a03:2880:f136:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f136::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713028106', 'facebook.com.', '108', 'IN', 'AAAA', '2a03:2880:f12d:83:face:b00c:0:25de', '1005595', '59.110.138.30']['AAAA', 'globalsdn.com.', 'AAAA', 'globalsdn.com.', '162', '1712974131000', '0.2540701627731323', '866401023', '0', '0', 'ans', '', '2a03:2880:f12d:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713041714', 'facebook.com.', '21', 'IN', 'AAAA', '2a03:2880:f131:83:face:b00c:0:25de', '51943', '67.181.147.174']['AAAA', 'raidcall.com.', 'AAAA', 'raidcall.com.', '108', '1712970618000', '0.24704504013061523', '866401023', '0', '0', 'ans', '', '2a03:2880:f131:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f131::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712984385', 'facebook.com.', '67', 'IN', 'AAAA', '2a03:2880:f11c:8083:face:b00c:0:25de', '1003540', '59.110.139.81']['AAAA', 'www.77169.com.', 'AAAA', 'www.77169.com.', '81', '1712974551000', '0.2348402589559555', '866401023', '0', '0', 'ans', '', '2a03:2880:f11c:8083:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713024629', 'facebook.com.', '60', 'IN', 'AAAA', '2a03:2880:f134:83:face:b00c:0:25de', '50862', '24.144.31.66']['AAAA', 'www.texcn.cn.', 'AAAA', 'www.texcn.cn.', '165', '1712968540000', '0.13003534078598022', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713025008', 'facebook.com.', '151', 'IN', 'AAAA', '2a03:2880:f130:83:face:b00c:0:25de', '55328', '240e:390:893:5b20:1:75ff:feac:24bb']['AAAA', 'www.aichatos.com.', 'AAAA', 'www.aichatos.com.', '122', '1712967308000', '0.2484402358531952', '866401023', '0', '0', 'ans', '', '2a03:2880:f130:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712999476', 'facebook.com.', '93', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '52202', '88.218.25.39']['AAAA', '91mjw.com.', 'AAAA', '91mjw.com.', '106', '1712969883000', '0.3421214520931244', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712999596', 'facebook.com.', '177', 'IN', 'AAAA', '2a03:2880:f129:83:face:b00c:0:25de', '1007740', '2409:8a55:d847:cd71:fc82:9ff:fe9a:b658']['AAAA', '77169.com.', 'AAAA', '77169.com.', '230', '1712974551000', '0.23944111168384552', '866401023', '0', '0', 'ans', '', '2a03:2880:f129:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713035766', 'facebook.com.', '59', 'IN', 'AAAA', '2a03:2880:f145:82:face:b00c:0:25de', '51625', '62.45.43.187']['AAAA', 'www.facebook.co.', 'AAAA', 'star-mini.c10r.facebook.com.', '60', '1712968359000', '0.000504612922668457', '866401023', '0', '0', 'ans', '', '2a03:2880:f145:82:face:b00c:0:25de', 'NL', '32934', '[32934]', '2a03:2880:f145::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712997264', 'facebook.com.', '6', 'IN', 'AAAA', '2a03:2880:f111:83:face:b00c:0:25de', '62911', '98.97.76.149']['AAAA', 'www.foxs.top.', 'AAAA', 'www.foxs.top.', '129', '1712974270000', '0.14934420585632324', '866401023', '0', '0', 'ans', '', '2a03:2880:f111:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f111::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713041034', 'facebook.com.', '86', 'IN', 'AAAA', '2a03:2880:f102:183:face:b00c:0:25de', '54725', '2409:8a55:2ea7:6010:1:20ff:fe20:90fc']['AAAA', 'meijutt.com.', 'AAAA', 'meijutt.com.', '228', '1712968717000', '0.7009081244468689', '866401023', '0', '0', 'ans', '', '2a03:2880:f102:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
