['2024-04-13', '1712989282', 'google.com.', '102', 'IN', 'A', '142.251.36.46', '24028', '77.175.222.79']['A', 'raterproject.com.', 'A', 'raterproject.com.', '300', '1712968839000', '0.014376640319824219', '866401023', '0', '0', 'ans', '142.251.36.46', '', 'US', '15169', '[15169]', '142.251.36.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713039092', 'google.com.', '154', 'IN', 'A', '142.250.184.14', '60135', '83.138.206.165']['A', 'www.somepools555.pw.', 'A', 'www.somepools555.pw.', '1799', '1712974157000', '0.004634246230125427', '866401023', '0', '0', 'ans', '142.250.184.14', '', 'US', '15169', '[15169]', '142.250.184.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713032482', 'google.com.', '132', 'IN', 'A', '142.250.179.206', '24028', '77.175.222.79']['A', 'www.youtube.pr.', 'A', 'youtube-ui.l.google.com.', '300', '1712968817000', '0.022705495357513428', '866401023', '0', '0', 'ans', '142.250.179.206', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713040948', 'google.com.', '60', 'IN', 'A', '93.46.8.90', '54725', '2409:8a55:2ea7:6010:1:20ff:fe20:90fc']['A', 'www.xf8dh25x.xyz.', 'A', 'www.xf8dh25x.xyz.', '60', '1712968531000', '0.2648422122001648', '866401023', '0', '0', 'ans', '93.46.8.90', '', 'IT', '12874', '[12874]', '93.46.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712979029', 'google.com.', '91', 'IN', 'A', '142.250.80.110', '10146', '2603:3005:404a:8300:a2f3:c1ff:fec4:3977']['A', 'www.scnservers.net.', 'A', 'scnservers.net.', '300', '1712968527000', '0.01337742805480957', '866401023', '0', '0', 'ans', '142.250.80.110', '', 'US', '15169', '[15169]', '142.250.80.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712989199', 'google.com.', '159', 'IN', 'A', '216.58.208.110', '24028', '77.175.222.79']['A', 'www.youtube.pr.', 'A', 'youtube-ui.l.google.com.', '300', '1712968817000', '0.022705495357513428', '866401023', '0', '0', 'ans', '216.58.208.110', '', 'US', '15169', '[15169]', '216.58.208.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713041607', 'facebook.com.', '186', 'IN', 'A', '50.23.209.199', '63067', '111.37.149.21']['A', 'www.91mjw.com.', 'A', 'www.91mjw.com.', '69', '1712969883000', '0.2471611499786377', '866401023', '0', '0', 'ans', '50.23.209.199', '', 'US', '36351', '[36351]', '50.23.192.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713033604', 'facebook.com.', '213', 'IN', 'A', '199.96.58.85', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['A', 'www.raidcall.com.', 'A', 'www.raidcall.com.', '158', '1712970618000', '0.2341119796037674', '866401023', '0', '0', 'ans', '199.96.58.85', '', 'US', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713042415', 'google.com.', '60', 'IN', 'A', '8.7.198.46', '1000418', '2408:4005:200:5006::1']['A', 'www.xflz847o.xyz.', 'A', 'www.xflz847o.xyz.', '60', '1712968726000', '0.25483667850494385', '866401023', '0', '0', 'ans', '8.7.198.46', '', 'US', '3356', '[3356]', '8.0.0.0/12', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713042377', 'facebook.com.', '604800', 'IN', 'A', '10.10.34.34', '51952', '46.21.81.95']['A', 'hesambackup.org.', 'A', 'hesambackup.org.', '300', '1712974885000', '0.018905818462371826', '866401023', '0', '0', 'ans', '10.10.34.34', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713025070', 'google.com.', '155', 'IN', 'A', '172.217.16.206', '50151', '46.21.81.95']['A', 'baskino.link.', 'A', 'baskino.link.', '264', '1712968760000', '0.022360622882843018', '866401023', '0', '0', 'ans', '172.217.16.206', '', 'US', '15169', '[15169]', '172.217.16.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
